unix_timestamp,time_since_midnight,distance,relative_time_us,relative_time_ms,relative_time_s,outlier_type
1748135024.327,72224.327,106.54,614915490,614915.49,4.05797199999995,distance
1748135024.348,72224.348,107.15,614936452,614936.452,4.078934000000004,distance
1748135024.368,72224.368,107.15,614957176,614957.176,4.099657999999977,distance
1748135024.431,72224.431,106.16,615019711,615019.711,4.162193000000002,distance
1748135024.452,72224.452,106.54,615040427,615040.427,4.182908999999995,distance
1748135024.493,72224.493,107.06,615082086,615082.086,4.224567999999977,distance
1748135024.514,72224.514,107.04,615103074,615103.074,4.245555999999965,distance
1748135024.535,72224.535,106.54,615123728,615123.728,4.266210000000001,distance
1748135024.597,72224.597,106.54,615186350,615186.35,4.32883199999992,distance
1748135024.618,72224.618,107.02,615207023,615207.023,4.349505000000022,distance
